,BRK-A_open,BRK-A_high,BRK-A_low,BRK-A_close,BRK-A_volume
2022-07-12,415405.1100,423699.9080,415405.1100,416448.9900,1674
2022-07-11,420824.4580,422550.0000,417250.0000,417900.0000,2522
2022-07-08,421258.3550,424199.9980,418977.2500,421800.0000,2022
2022-07-07,416842.7480,419824.6580,415832.2500,419200.0000,1955
2022-07-06,415539.2600,416500.0000,409661.0400,414148.0100,1711
2022-07-05,414924.2580,414924.2600,407993.1400,413844.1000,2562
2022-07-01,407700.0000,417869.0000,407700.0000,415850.0000,1718
2022-06-30,407634.2580,412869.0000,403567.2500,408950.0000,1691
2022-06-29,415239.2600,415239.2600,410000.0100,411050.0000,1629
2022-06-28,421976.5380,423727.7480,411287.2600,412170.0100,1878
2022-06-27,423279.2600,424085.0000,416750.0000,417700.0000,2403
2022-06-24,405489.2600,419859.0000,402550.0100,417401.4350,2121
2022-06-23,406412.7300,408499.4600,396500.0000,402300.0000,2570
2022-06-22,402567.6350,410482.7400,400741.0100,405649.0000,1871
2022-06-21,412749.2600,412749.2600,405700.0000,407800.0000,2709
2022-06-17,406209.2580,406209.2600,399022.2600,403150.0000,2233
2022-06-16,413374.9500,413374.9500,400669.0200,403971.0000,2813
2022-06-15,423688.0050,426715.0000,411427.2400,418600.0000,2191
2022-06-14,421651.0100,428219.9900,414200.0000,415500.0000,2308
2022-06-13,432488.9900,433869.0000,422437.5000,423700.0000,3205
2022-06-10,447999.9880,448500.0000,439005.0100,439780.0100,2682
2022-06-09,464274.5400,464274.5400,451757.2500,452260.0000,2025
2022-06-08,472089.5400,472089.5400,462300.5500,463300.0000,2059
2022-06-07,467649.5400,471499.9000,464551.0000,471499.9000,1808
2022-06-06,472899.5380,473899.9900,467632.2600,468400.0000,2003
2022-06-03,469925.1300,471789.2500,465850.0000,467650.0000,1949
2022-06-02,472134.2580,472885.9980,463312.2600,472710.0000,2056
2022-06-01,476594.2580,476594.2600,464900.0000,469620.0000,2143
2022-05-31,477890.1400,479309.2600,472110.1400,474050.0000,2852
2022-05-27,472795.2750,478669.5050,470021.0100,478669.5050,1932
2022-05-26,465146.0000,471601.7050,464951.0100,468805.0400,1751
2022-05-25,462229.6950,466541.0800,459140.8200,462890.0000,1709
2022-05-24,465579.5380,465579.5400,455720.5800,463606.4880,1879
2022-05-23,462638.9900,469079.9880,459371.0100,464510.0000,2315
2022-05-20,462424.5400,462424.5400,448108.3350,456500.0000,2376
2022-05-19,457939.5000,459694.3080,452000.0000,456031.0100,3345
2022-05-18,471052.7750,473284.5400,458619.8200,461000.0000,2506
2022-05-17,470771.0100,478708.9900,468330.8200,471670.0000,2228
2022-05-16,465135.2750,468057.7400,461007.2200,464250.0000,1819
2022-05-13,466106.0000,469144.4800,462327.2500,465011.0000,2440
2022-05-12,460431.1400,464844.5400,454670.0000,461631.0000,2951
2022-05-11,474535.0000,476600.0000,466725.0200,468000.0000,2268
2022-05-10,478464.9980,478750.0000,466051.6500,469780.0100,2395
2022-05-09,477825.1400,478000.0000,468902.2400,471200.0000,3255
2022-05-06,482864.0000,483795.0000,475000.0000,479500.0000,2500
2022-05-05,487900.0000,493849.5400,476747.5100,481400.0000,2949
2022-05-04,486663.9900,494343.0000,477711.7200,494343.0000,2398
2022-05-03,480540.7500,487713.0000,478150.0000,481197.7500,2427
2022-05-02,485921.0100,492124.5400,470692.2600,478150.0000,4068
2022-04-29,495206.0000,499999.9900,484340.0000,484340.0000,3073
2022-04-28,497010.0000,502329.0000,494335.0000,499000.0000,2650
2022-04-27,498092.5700,502798.9900,495068.9100,496800.0000,2537
2022-04-26,506788.9900,507419.4100,497777.0000,497777.0000,2843
2022-04-25,501834.5400,509649.9750,495149.5100,506200.0500,4269
2022-04-22,515050.2350,517444.4600,504513.8350,505440.0000,3460
2022-04-21,524393.9100,526900.0000,515000.0100,515815.0000,3896
2022-04-20,525287.5000,526699.4600,521000.0000,522900.5600,4453
2022-04-19,522339.2600,524207.7600,519001.0000,523260.0000,4172
2022-04-18,516774.2600,521019.4100,514600.0000,519499.0000,3320
2022-04-14,519162.6300,521673.9800,516435.0000,516435.0000,1626
2022-04-13,524135.1300,525900.0000,517973.0000,519799.9000,2018
2022-04-12,529165.0000,531000.0000,522693.1400,524271.0000,2064
2022-04-11,528413.0000,531880.0000,524085.5900,527590.0000,2394
2022-04-08,524139.2600,531040.0000,520276.0000,529000.0000,2134
2022-04-07,519110.5000,521855.0000,513904.6800,519760.0000,1997
2022-04-06,511475.0050,520368.8800,510241.0000,517002.0000,2054
2022-04-05,520074.2600,524424.9900,516000.0000,516000.0000,2358
2022-04-04,529375.0000,532029.2600,516592.5800,518714.0000,4039
2022-04-01,530026.0000,533139.2600,523662.3750,527760.0000,2606
2022-03-31,538660.2500,540420.0000,528921.0000,528921.0000,2332
2022-03-30,531305.1300,537370.5000,527650.1400,536440.0000,2327
2022-03-29,544389.2600,544389.2600,528750.0100,532011.0000,3695
2022-03-28,540912.6300,544000.0000,533345.0700,539180.0000,3805
2022-03-25,531087.5000,538949.0000,529981.0000,538949.0000,2635
2022-03-24,528414.0000,528816.8000,523777.5000,528816.8000,2100
2022-03-23,523066.0000,528015.0000,519150.5100,521781.0000,2952
2022-03-22,526201.0000,532530.0000,523500.0000,525854.0000,3731
2022-03-21,517231.0000,526732.5000,515970.0100,525000.0000,3322
2022-03-18,515731.0000,520654.4600,508852.5800,512991.0000,3492
2022-03-17,505385.0000,518438.0000,503641.0000,518438.0000,2942
2022-03-16,502201.0000,506028.9700,497612.8300,504036.0000,2516
2022-03-15,498673.0000,501939.1900,494022.5900,498160.0000,2613
2022-03-14,493987.6300,500022.8300,491946.5850,493785.0000,2916
2022-03-11,490155.1300,497333.0000,488551.0000,489802.0000,1791
2022-03-10,484252.1350,490800.0000,482520.0100,487820.0000,1578
2022-03-09,491339.2600,491550.1800,484184.4950,488245.0000,1663
2022-03-08,486689.6350,491500.0000,476921.0000,478025.0000,2048
2022-03-07,491039.2600,492059.2600,480887.7850,484527.0000,2358
2022-03-04,485375.0050,488298.0000,480340.5600,487440.0000,1971
2022-03-03,490797.4950,494419.7300,485855.0000,491245.0000,1917
2022-03-02,479174.5000,488765.1800,477091.0100,486109.0000,1616
2022-03-01,482000.0000,482151.4200,470644.8700,475879.0000,1818
2022-02-28,476700.0000,483638.0900,473930.0000,476205.0000,2427
2022-02-25,467597.6300,482579.3400,465326.0000,479345.0000,2163
2022-02-24,452927.6300,463489.7500,450000.0000,462110.0000,2750
2022-02-23,474975.2700,475989.2600,464400.0300,465515.0000,1711
2022-02-22,470732.6300,473459.5400,466257.3800,471417.9950,2390
2022-02-18,471527.6300,473920.0000,469091.0000,472257.0000,1533
2022-02-17,474828.9900,474828.9900,469181.9300,470655.0000,1430
2022-02-16,472982.7700,475780.0000,471401.0000,474444.0000,1285
2022-02-15,475390.2700,476979.9900,472455.5500,473980.0000,1506
2022-02-14,479207.7700,481053.9500,468562.5000,472410.0000,2180
2022-02-11,481067.5050,484849.6500,476885.5000,479370.0000,1625
2022-02-10,481000.2700,483725.5400,478000.0000,480105.0000,1770
2022-02-09,485650.2700,488399.8450,482502.0000,483900.0000,1829
2022-02-08,477670.2700,484200.2000,474112.0000,482030.0000,1663
2022-02-07,474099.5400,477349.9300,468252.5000,474900.0000,1960
2022-02-04,471990.0000,476887.9900,469101.1700,473364.0000,2007
2022-02-03,478840.1300,481029.2600,472081.4900,472536.0000,1589
2022-02-02,470620.1300,480400.0000,469001.0000,479500.0000,1882
2022-02-01,469465.1300,471888.0000,465460.0000,471184.0000,1931
2022-01-31,467665.2400,470739.2600,462150.5000,469805.0000,2576
2022-01-28,462559.7750,469880.0000,456280.5100,469880.0000,1999
2022-01-27,469000.1300,473899.9900,458200.5800,461200.0000,1923
2022-01-26,466162.1350,470769.5400,460206.0000,463652.0000,1978
2022-01-25,453012.0050,464727.7500,443401.7000,461919.0100,2058
2022-01-24,449332.7750,457999.4700,445000.0000,456901.0000,3722
2022-01-21,465040.2700,466988.5400,456623.3550,458675.0000,2327
2022-01-20,473972.7750,476624.9900,466602.2050,467390.0000,1770
2022-01-19,482999.7700,484849.5400,472560.0000,473440.0000,1777
2022-01-18,484930.2700,487255.0000,477585.0100,480081.0000,2750
2022-01-14,480280.1300,486999.0000,476336.0000,485379.0000,2013
2022-01-13,482057.7750,485800.0000,481166.0100,483872.0000,1821
2022-01-12,481190.2700,483249.5400,477093.9100,481700.0000,1732
2022-01-11,479352.5050,480935.0000,473185.0000,480340.0000,1697
2022-01-10,483800.0000,483800.0000,473373.3600,477165.0000,2641
2022-01-07,474695.5050,480887.9900,472610.0000,480000.1000,2433
2022-01-06,470900.2350,473544.4600,467236.2400,473153.0000,1867
2022-01-05,468499.9100,474181.0300,466050.0000,467274.2500,2195
2022-01-04,458674.6300,466194.9800,452376.0100,465725.0000,2293
2022-01-03,452005.1400,454800.0000,451020.0100,454300.0000,2737
2021-12-31,449945.0000,455910.0000,449945.0000,450662.0000,1450
2021-12-30,453727.6500,454999.9900,452545.1400,452700.0000,1555
2021-12-29,452370.0700,453499.0200,450655.1400,452102.0000,1423
2021-12-28,447562.3000,452244.0000,446405.1400,449570.1100,1484
2021-12-27,444204.7350,447284.9800,444020.1400,447110.0000,2522
2021-12-23,445394.8000,448250.0000,443525.0100,444654.0000,1505
2021-12-22,441459.8750,444587.7000,440300.0000,444587.7000,1150
2021-12-21,441314.5150,445378.9900,439385.1400,442999.9000,1349
2021-12-20,438290.1500,439949.4600,434055.0000,437444.9900,1763
2021-12-17,448849.9950,449949.4600,441200.0000,443304.0000,2334
2021-12-16,447540.0700,454550.0000,444655.1400,454550.0000,2227
2021-12-15,445927.7350,447794.4600,441610.5800,443702.0000,2488
2021-12-14,436865.2350,446724.0300,434981.0100,446104.0000,2196
2021-12-13,435860.5000,439700.1700,430932.2400,437730.0000,2086
2021-12-10,431254.0700,435000.0000,428402.0100,435000.0000,1570
2021-12-09,428932.5700,430650.0000,425414.0000,428402.0000,1342
2021-12-08,430115.0700,432745.0000,426000.0000,427405.0000,1153
2021-12-07,430739.0000,431678.8850,426200.0000,429830.0000,1263
2021-12-06,423200.5700,427999.9900,420000.0000,426200.0000,1657
2021-12-03,421420.0000,426000.0000,416100.0000,418676.0000,1736
2021-12-02,417775.5650,422998.9800,415526.0100,420566.0000,1249
2021-12-01,421535.4800,424668.8700,415000.0000,415660.0000,2038
2021-11-30,423822.5000,426125.0000,416545.6050,416876.0000,1947
2021-11-29,429047.5050,432135.0000,425000.0000,425260.0000,1937
2021-11-26,424232.7300,429802.7400,421091.0000,427832.7500,1611
2021-11-24,434642.7300,437138.9900,431497.4100,433333.0000,1473
2021-11-23,432836.9000,435365.0000,430100.0000,434921.0000,2424
2021-11-22,425225.0000,432000.0000,422535.0000,430100.0000,1890
2021-11-19,422900.5050,424300.0000,420000.0000,423374.0000,1558
2021-11-18,428428.9900,428428.9900,422223.0000,422702.0000,1619
2021-11-17,427650.7300,429709.9900,424201.0100,426198.0000,1796
2021-11-16,429637.5000,431848.9900,427120.0000,427702.0000,1518
2021-11-15,432193.0000,434335.0000,429078.5100,429302.0000,1803
2021-11-12,432614.0000,432898.9900,427664.0000,431575.0000,1230
2021-11-11,431800.1950,434398.9900,428694.0100,429202.0000,1421
2021-11-10,431420.1800,433409.2200,428940.0100,430602.0000,1711
